objectid,identifier,box number,title,creator,description,date,date is approximate,subject,sensitive,location,latitude,longitude,source,filename,type,format original,format,digital collection,contributing institution,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,relation
tabor0001,pg83-b05-f42-001_001,05,"Catholic Daughter Graduation photos, Kellogg, Idaho [01]","Tabor's Photo Service, Wallace Idaho",Nine unidentified female graduates standing wearing caps and gowns.,1941-06-19,,commencements; women,,"Kellogg, Idaho",47.5426822,-116.1442045,"PG 83, George W. Tabor Photographs, 1890-1963",pg83-b05-f42-001_001.jpg,Image;StillImage,Black & white print,image/jpeg,George W. Tabor Photographs,University of Idaho Library Special Collections and Archives,eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/tabor/pg83-b05-f42-001_001.jpg,https://www.lib.uidaho.edu/digital/objects/tabor/small/pg83-b05-f42-001_001_sm.jpg,https://www.lib.uidaho.edu/digital/objects/tabor/thumbs/pg83-b05-f42-001_001_th.jpg,
tabor0002,pg83-b05-f42-001_002,05,"Catholic Daughter Graduation photos, Kellogg, Idaho [02]","Tabor's Photo Service, Wallace Idaho","Nine unidentified female graduates standing wearing caps and gowns, facing towards the left.",1941-06-19,,commencements; women,,"Kellogg, Idaho",47.5426822,-116.1442045,"PG 83, George W. Tabor Photographs, 1890-1964",pg83-b05-f42-001_002.jpg,Image;StillImage,Black & white print,image/jpeg,George W. Tabor Photographs,University of Idaho Library Special Collections and Archives,eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/tabor/pg83-b05-f42-001_002.jpg,https://www.lib.uidaho.edu/digital/objects/tabor/small/pg83-b05-f42-001_002_sm.jpg,https://www.lib.uidaho.edu/digital/objects/tabor/thumbs/pg83-b05-f42-001_002_th.jpg,
tabor0003,pg83-b05-f42-001_003,05,"Catholic Daughter Graduation photos, Kellogg, Idaho [03]","Tabor's Photo Service, Wallace Idaho",Nineteen unidentified women standing in two rows.,1941-06-19,,commencements; women,,"Kellogg, Idaho",47.5426822,-116.1442045,"PG 83, George W. Tabor Photographs, 1890-1965",pg83-b05-f42-001_003.jpg,Image;StillImage,Black & white print,image/jpeg,George W. Tabor Photographs,University of Idaho Library Special Collections and Archives,eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/tabor/pg83-b05-f42-001_003.jpg,https://www.lib.uidaho.edu/digital/objects/tabor/small/pg83-b05-f42-001_003_sm.jpg,https://www.lib.uidaho.edu/digital/objects/tabor/thumbs/pg83-b05-f42-001_003_th.jpg,
tabor0004,pg83-b05-f42-001_004,05,"Catholic Daughter Graduation photos, Kellogg, Idaho [04]","Tabor's Photo Service, Wallace Idaho",Nine unidentified female graduates wearing caps and gowns stand in front of ten unidentified women.,1941-06-19,,commencements; women,,"Kellogg, Idaho",47.5426822,-116.1442045,"PG 83, George W. Tabor Photographs, 1890-1966",pg83-b05-f42-001_004.jpg,Image;StillImage,Black & white print,image/jpeg,George W. Tabor Photographs,University of Idaho Library Special Collections and Archives,eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/tabor/pg83-b05-f42-001_004.jpg,https://www.lib.uidaho.edu/digital/objects/tabor/small/pg83-b05-f42-001_004_sm.jpg,https://www.lib.uidaho.edu/digital/objects/tabor/thumbs/pg83-b05-f42-001_004_th.jpg,
tabor0005,pg83-b05-f42-001_005,05,"Catholic Daughter Graduation photos, Kellogg, Idaho [05]","Tabor's Photo Service, Wallace Idaho",Nine unidentified female graduates wearing caps and gowns stand in front of ten unidentified women.,1941-06-19,,commencements; women,,"Kellogg, Idaho",47.5426822,-116.1442045,"PG 83, George W. Tabor Photographs, 1890-1967",pg83-b05-f42-001_005.jpg,Image;StillImage,Black & white print,image/jpeg,George W. Tabor Photographs,University of Idaho Library Special Collections and Archives,eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/tabor/pg83-b05-f42-001_005.jpg,https://www.lib.uidaho.edu/digital/objects/tabor/small/pg83-b05-f42-001_005_sm.jpg,https://www.lib.uidaho.edu/digital/objects/tabor/thumbs/pg83-b05-f42-001_005_th.jpg,
tabor0006,pg83-b05-f42-002_001,05,"American Red Cross nurses, surgical dressing [01]",,American Red Cross nurses work with surgical dressing.,,,nurses; women,,,,,"PG 83, George W. Tabor Photographs, 1890-1968",pg83-b05-f42-002_001.jpg,Image;StillImage,Black & white print,image/jpeg,George W. Tabor Photographs,University of Idaho Library Special Collections and Archives,eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/tabor/pg83-b05-f42-002_001.jpg,https://www.lib.uidaho.edu/digital/objects/tabor/small/pg83-b05-f42-002_001_sm.jpg,https://www.lib.uidaho.edu/digital/objects/tabor/thumbs/pg83-b05-f42-002_001_th.jpg,
tabor0007,pg83-b05-f42-003_001,05,"American Red Cross nurses, surgical dressing [02]",,Eight American Red Cross nurses sit at a table with surgical dressing and tools as two other nurses stand watching them. An American Red Cross flag hangs in the background.,,,nurses; women,,,,,"PG 83, George W. Tabor Photographs, 1890-1969",pg83-b05-f42-003_001.jpg,Image;StillImage,Black & white print,image/jpeg,George W. Tabor Photographs,University of Idaho Library Special Collections and Archives,eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/tabor/pg83-b05-f42-003_001.jpg,https://www.lib.uidaho.edu/digital/objects/tabor/small/pg83-b05-f42-003_001_sm.jpg,https://www.lib.uidaho.edu/digital/objects/tabor/thumbs/pg83-b05-f42-003_001_th.jpg,
tabor0008,pg83-b05-f42-004_001,05,"American Red Cross nurses, surgical dressing [03]",,"American Red Cross nurses sit at two tables working with surgical dressing and tools as two nurses stand watching them. An American flag and a Red Cross flag hangs on the wall. A sign that reads ""Red Cross Surgical Dressing"" hangs on the door.",,,nurses; women,,,,,"PG 83, George W. Tabor Photographs, 1890-1970",pg83-b05-f42-004_001.jpg,Image;StillImage,Black & white print,image/jpeg,George W. Tabor Photographs,University of Idaho Library Special Collections and Archives,eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/tabor/pg83-b05-f42-004_001.jpg,https://www.lib.uidaho.edu/digital/objects/tabor/small/pg83-b05-f42-004_001_sm.jpg,https://www.lib.uidaho.edu/digital/objects/tabor/thumbs/pg83-b05-f42-004_001_th.jpg,
tabor0009,pg83-b05-f42-005_001,05,Men and Marching band members gathered together for photo in celebration of Aerie #54. Fraternal Order of Eagles 34th anniversary meeting [01],"Tabor's Photo Service, Wallace Idaho",Men and marching band members gather for a photograph in celebration of Aerie #54 Fraternal Order of Eagles' 34th anniversary meeting. A welcome sign hangs between two American flags in the background.,1936-02-19,,men; bands; flags,,"Wallace, Idaho",47.4743398,-115.9201941,"PG 83, George W. Tabor Photographs, 1890-1971",pg83-b05-f42-005_001.jpg,Image;StillImage,Black & white print,image/jpeg,George W. Tabor Photographs,University of Idaho Library Special Collections and Archives,eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/tabor/pg83-b05-f42-005_001.jpg,https://www.lib.uidaho.edu/digital/objects/tabor/small/pg83-b05-f42-005_001_sm.jpg,https://www.lib.uidaho.edu/digital/objects/tabor/thumbs/pg83-b05-f42-005_001_th.jpg,
tabor0010,pg83-b05-f42-006_001,05,Men and Marching band members gathered together for photo in celebration of Aerie #54. Fraternal Order of Eagles 34th anniversary meeting [02],"Tabor's Photo Service, Wallace Idaho",Men and marching band members gather for a photograph in celebration of Aerie #54 Fraternal Order of Eagles' 34th anniversary meeting. A welcome sign hangs between two American flags in the background.,1936,,men; bands; flags,,"Wallace, Idaho",47.4743398,-115.9201941,"PG 83, George W. Tabor Photographs, 1890-1972",pg83-b05-f42-006_001.jpg,Image;StillImage,Black & white print,image/jpeg,George W. Tabor Photographs,University of Idaho Library Special Collections and Archives,eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/tabor/pg83-b05-f42-006_001.jpg,https://www.lib.uidaho.edu/digital/objects/tabor/small/pg83-b05-f42-006_001_sm.jpg,https://www.lib.uidaho.edu/digital/objects/tabor/thumbs/pg83-b05-f42-006_001_th.jpg,
