objectid,parentid,filename,title,creator,date,date is approximate,description,subject,location,latitude,longitude,source,identifier,type,format original,format,digital collection,contributing institution,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb
fitzgerald0001,,ijcmg004_b001_f001-001.jpg,Ella Fitzgerald portrait [1],,1940,,Black and white photographed portait of Ella Fitzgerald.,vocalist; black-and-white photographs; jazz,,,,IJC MG 4 Ella Fitzgerald Collection,ijcmg004_b001_f001-001,Image;StillImage,Black & white photograph,image/jpeg,Collection on Ella Fitzgerald,University of Idaho,eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/ijcmg004_b001_f001-001.jpg,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/small/ijcmg004_b001_f001-001_sm.jpg,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/thumbs/ijcmg004_b001_f001-001_th.jpg
fitzgerald0002,,ijcmg004_b001_f001-002.jpg,Ella Fitzgerald postcard [1],,,,Postcard with picture of Ella Fitzgerald.,photographic postcard; vocalist; jazz,,,,IJC MG 4 Ella Fitzgerald Collection,ijcmg004_b001_f001-002,Image;StillImage,Black & white photograph,image/jpeg,Collection on Ella Fitzgerald,University of Idaho,eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/ijcmg004_b001_f001-002.jpg,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/small/ijcmg004_b001_f001-002_sm.jpg,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/thumbs/ijcmg004_b001_f001-002_th.jpg
fitzgerald0003,,ijcmg004_b001_f001-003.jpg,Ella Fitzgerald postcard [2],,,,Postcard with picture of Ella Fitzgerald.,photographic postcard; vocalist; jazz,,,,IJC MG 4 Ella Fitzgerald Collection,ijcmg004_b001_f001-003,Image;StillImage,Black & white photograph,image/jpeg,Collection on Ella Fitzgerald,University of Idaho,eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/ijcmg004_b001_f001-003.jpg,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/small/ijcmg004_b001_f001-003_sm.jpg,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/thumbs/ijcmg004_b001_f001-003_th.jpg
fitzgerald0004,,ijcmg004_b001_f001-004.jpg,Ella Fitzgerald postcard [3],"Randolf, William ""PoPsie"" (1920-1978)",1975,,Postcard with picture of Ella Fitzgerald.,photographic postcard; vocalist; jazz,,,,IJC MG 4 Ella Fitzgerald Collection,ijcmg004_b001_f001-004,Image;StillImage,Black & white photograph,image/jpeg,Collection on Ella Fitzgerald,University of Idaho,eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/ijcmg004_b001_f001-004.jpg,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/small/ijcmg004_b001_f001-004_sm.jpg,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/thumbs/ijcmg004_b001_f001-004_th.jpg
fitzgerald0005,,ijcmg004_b001_f001-005.jpg,Ella Fitzgerald portrait from Pablo Records,,,,"Black and White portrait of Ella Fitzgerald for the cover of ""Ella Fitzgerald Live at the Montreaux Jazz Festival 1975"" from Pablo records.",jazz; black-and-white photographs; vocalist; musical performance,,,,IJC MG 4 Ella Fitzgerald Collection,ijcmg004_b001_f001-005,Image;StillImage,Black & white photograph,image/jpeg,Collection on Ella Fitzgerald,University of Idaho,eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/ijcmg004_b001_f001-005.jpg,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/small/ijcmg004_b001_f001-005_sm.jpg,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/thumbs/ijcmg004_b001_f001-005_th.jpg
fitzgerald0006,,ijcmg004_b001_f001-006.jpg,Ella Fitzgerald portrait [2],,,,Black and white photographed portait of Ella Fitzgerald.,vocalist; black-and-white photographs; jazz,,,,IJC MG 4 Ella Fitzgerald Collection,ijcmg004_b001_f001-006,Image;StillImage,Black & white photograph,image/jpeg,Collection on Ella Fitzgerald,University of Idaho,eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/ijcmg004_b001_f001-006.jpg,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/small/ijcmg004_b001_f001-006_sm.jpg,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/thumbs/ijcmg004_b001_f001-006_th.jpg
fitzgerald0007,,ijcmg004_b001_f001-007.jpg,Ella Fitzgerald portrait [3],"Frehm, Ron (1924-) ",1971-03-30,,Black and white photographed portrait of Ella Fitzgerald performing at the empire room of the Waldorf Astoria.,jazz; black-and-white photographs; vocalist; musical performance,Empire Room in the Waldorf Astoria ,40.75696563,-73.97367079,IJC MG 4 Ella Fitzgerald Collection,ijcmg004_b001_f001-007,Image;StillImage,Black & white photograph,image/jpeg,Collection on Ella Fitzgerald,University of Idaho,eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/ijcmg004_b001_f001-007.jpg,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/small/ijcmg004_b001_f001-007_sm.jpg,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/thumbs/ijcmg004_b001_f001-007_th.jpg
fitzgerald0008,,ijcmg004_b001_f001-008.jpg,Ella Fitzgerald portrait [4],,,,Black and white photographed portait of Ella Fitzgerald.,vocalist; black-and-white photographs; jazz,,,,IJC MG 4 Ella Fitzgerald Collection,ijcmg004_b001_f001-008,Image;StillImage,Black & white photograph,image/jpeg,Collection on Ella Fitzgerald,University of Idaho,eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/ijcmg004_b001_f001-008.jpg,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/small/ijcmg004_b001_f001-008_sm.jpg,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/thumbs/ijcmg004_b001_f001-008_th.jpg
fitzgerald0009,,ijcmg004_b001_f001-009.jpg,Ella Fitzgerald portrait [5],,,,Black and white photographed portait of Ella Fitzgerald.,vocalist; black-and-white photographs; jazz,,,,IJC MG 4 Ella Fitzgerald Collection,ijcmg004_b001_f001-009,Image;StillImage,Black & white photograph,image/jpeg,Collection on Ella Fitzgerald,University of Idaho,eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/ijcmg004_b001_f001-009.jpg,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/small/ijcmg004_b001_f001-009_sm.jpg,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/thumbs/ijcmg004_b001_f001-009_th.jpg
fitzgerald0010,,ijcmg004_b001_f001-010.jpg,Ella Fitzgerald portrait [6],,,,Black and white photographed portait of Ella Fitzgerald at the Montreux Jazz Festival 1975.,vocalist; black-and-white photographs; jazz,,,,IJC MG 4 Ella Fitzgerald Collection,ijcmg004_b001_f001-010,Image;StillImage,Black & white photograph,image/jpeg,Collection on Ella Fitzgerald,University of Idaho,eng,"Educational use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/ijcmg004_b001_f001-010.jpg,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/small/ijcmg004_b001_f001-010_sm.jpg,https://www.lib.uidaho.edu/digital/objects/ella-fitzgerald/thumbs/ijcmg004_b001_f001-010_th.jpg
