objectid,file name,frog,creator,title,date,archival date,description,subject,location,latitude,longitude,source,identifier,type,format original,format,finding aid,digital collection,contributing institution,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb
theatre001,theatre-tartuffe.jpg,theatre-tartuffe,University of Idaho,Production of Tartuffe,1967,1967,"1967 Drama production of 'Tartuffe', in the U-Hut Arena Theater",students; theatre; actors; plays; tartuffe,"Moscow, Idaho",46.727086,-117.011649,PG2 University of Idaho Student Organizations Collection,PG2-141-081d,Image;StillImage,bw print,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv867166,https://digital.lib.uidaho.edu/digital/collection/pg2,,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,image,https://www.lib.uidaho.edu/digital/objects/theatre/theatre-tartuffe.jpg,https://www.lib.uidaho.edu/digital/objects/theatre/small/theatre-tartuffe_sm.jpg,https://www.lib.uidaho.edu/digital/objects/theatre/thumbs/theatre-tartuffe_th.jpg
theatre002,theatre-willow.jpg,theatre-willow,University of Idaho,Big Willow,1932,1930-1935,1932 photograph of University of Idaho campus scenery. View of the Big Willow with the tennis courts in the background.,trees; campuses; scenery,"Moscow, Idaho",46.725085,-117.009562,PG1 University of Idaho Campus Photographs,PG1-006-38,Image;StillImage,3.5x6 bw negative,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv382718,https://digital.lib.uidaho.edu/digital/collection/pg1,,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,image,https://www.lib.uidaho.edu/digital/objects/theatre/theatre-willow.jpg,https://www.lib.uidaho.edu/digital/objects/theatre/small/theatre-willow_sm.jpg,https://www.lib.uidaho.edu/digital/objects/theatre/thumbs/theatre-willow_th.jpg
theatre003,theatre-willow2.jpg,theatre-willow2,University of Idaho,"""As You Like It""",1919,1919,"The University of Idaho drama production of ""As you Like It""",students; theatre; actors; plays,"Moscow, Idaho",46.725085,-117.009562,PG2 University of Idaho Student Organizations Collection,PG2-141-013-a,Image;StillImage,7x5 bw print,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv867166,https://digital.lib.uidaho.edu/digital/collection/pg2,,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,image,https://www.lib.uidaho.edu/digital/objects/theatre/theatre-willow2.jpg,https://www.lib.uidaho.edu/digital/objects/theatre/small/theatre-willow2_sm.jpg,https://www.lib.uidaho.edu/digital/objects/theatre/thumbs/theatre-willow2_th.jpg
theatre004,theatre-uhut.jpg,theatre-uhut,University of Idaho,YMCA Building,1919,1915-1920,"University of Idaho, YMCA building. Looking north across University Avenue at the YMCA building. Later called the University Hut or U-Hut.",campuses; buildings;theatre,"Moscow, Idaho",46.727086,-117.011649,"PG 90, Clifford Ott Collection",PG90-08-69,Image;StillImage,bw print,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv805080,https://digital.lib.uidaho.edu/digital/collection/ott/id/1188/rec/9,,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,image,https://www.lib.uidaho.edu/digital/objects/theatre/theatre-uhut.jpg,https://www.lib.uidaho.edu/digital/objects/theatre/small/theatre-uhut_sm.jpg,https://www.lib.uidaho.edu/digital/objects/theatre/thumbs/theatre-uhut_th.jpg
theatre005,theatre-uhut2.jpg,theatre-uhut2,University of Idaho,"""Playboy of the Western World"" set build in the experimental theatre.",1970,1970,"1970 set construction for ""Playboy of the Western World"" in the U-Hut Experimental Theatre later renamed The Jean Collette Theatre after a popular theatre department head.",campuses; buildings;theatre,"Moscow, Idaho",46.727086,-117.011649,Argonaut Digital Collection,,Image;StillImage,bw print,image/jpeg,,https://www.lib.uidaho.edu/digital/argonaut/,,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,image,https://www.lib.uidaho.edu/digital/objects/theatre/theatre-uhut2.jpg,https://www.lib.uidaho.edu/digital/objects/theatre/small/theatre-uhut2_sm.jpg,https://www.lib.uidaho.edu/digital/objects/theatre/thumbs/theatre-uhut2_th.jpg
theatre006,theatre-aud3.jpg,theatre-aud3,University of Idaho,Administration Auditorium,1924,1924,"1924 Admnistration Building, University of Idaho Auditorium",campuses; buildings; theatre,"Moscow, Idaho",46.726007,-117.011208,PG1 University of Idaho Campus Photographs,PG1-52-22a,Image;StillImage,black and white prints,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv382718,https://digital.lib.uidaho.edu/digital/collection/pg1,,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,image,https://www.lib.uidaho.edu/digital/objects/theatre/theatre-uaud3.jpg,https://www.lib.uidaho.edu/digital/objects/theatre/small/theatre-aud3_sm.jpg,https://www.lib.uidaho.edu/digital/objects/theatre/thumbs/theatre-aud3_th.jpg
theatre007,theatre-uhut3.jpg,theatre-uhut3,University of Idaho,"Ensemble of ""Playboy of the Western World""",1970,1970,"1970 Ensemble of ""Playboy of the Western World"" in the U-Hut Experimental Theatre later renamed The Jean Collette Theatre after a popular theatre department head.",students; theatre; actors; plays,"Moscow, Idaho",46.727086,-117.011649,University of Idaho Theatre Arts Department,TA_Chrono_1970F-Play-04-01-002,Image;StillImage,35mm bw negative,image/jpeg,,,,eng," In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/theatre/theatre-uhut3.jpg,https://www.lib.uidaho.edu/digital/objects/theatre/small/theatre-uhut3_sm.jpg,https://www.lib.uidaho.edu/digital/objects/theatre/thumbs/theatre-uhut3_th.jpg
theatre008,theatre-admin.jpg,theatre-admin,University of Idaho,Administration Building,1920,1920-1925,Admnistration Building with view of Auditorium's main entrance.,campuses; buildings; theatre,"Moscow, Idaho",46.726007,-117.011208,PG 1 University of Idaho Campus Photographs,PG1-52-91,Image;StillImage,8x10 bw print,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv382718,https://digital.lib.uidaho.edu/digital/collection/pg1,,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,image,https://www.lib.uidaho.edu/digital/objects/theatre/theatre-admin.jpg,https://www.lib.uidaho.edu/digital/objects/theatre/small/theatre-admin_sm.jpg,https://www.lib.uidaho.edu/digital/objects/theatre/thumbs/theatre-admin_th.jpg
theatre009,theatre-ad-bment.jpg,theatre-ad-bment,University of Idaho,"""Embers""",2002,2002,"2002 Performance of ""Embers"" in the Adminstration basement directed by Charles Pepiton.",students; theatre; actors; plays,"Moscow, Idaho",46.726007,-117.011208,University of Idaho Theatre Arts Department,,Image;StillImage,,image/jpeg,,,,eng," In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/theatre/theatre-ad-bment.jpg,https://www.lib.uidaho.edu/digital/objects/theatre/small/theatre-ad-bment_sm.jpg,https://www.lib.uidaho.edu/digital/objects/theatre/thumbs/theatre-ad-bment_th.jpg
theatre010,theatre-aud.jpg,theatre-aud,University of Idaho,"""Ring Around the Moon""",1957,1957,"1957 Drama production of ""Ring Around the Moon"" directed by Jean Collette in the University Auditorium.",students; theatre; actors; plays,"Moscow, Idaho",46.726007,-117.011208,"University of Idaho Theatre Arts Photographs, 1920-1976",PG24-24-081,Image;StillImage,35mm color slide,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv884132,,,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,image,https://www.lib.uidaho.edu/digital/objects/theatre/theatre-aud.jpg,https://www.lib.uidaho.edu/digital/objects/theatre/small/theatre-aud_sm.jpg,https://www.lib.uidaho.edu/digital/objects/theatre/thumbs/theatre-aud_th.jpg
