objectid,file name,title,description,company names,creator,architect,drawn,traced,date,date is approximate,scale,subject,location built,location created,location,latitude,longitude,digital collection,finding aid,source,identifier,rights,rightsstatement,format original,type,digital format,language,display_template,object_location,image_small,image_thumb
craigmountain001,MG12_F01_p001.jpg,Side elevation of power house,"Blueprint of the side elevation of power house for the Craig Mountain Lumber Company in Winchester, Idaho by Union Iron Works, Spokane Washington.",Union Iron Works; Craig Mountain Lumber Company,Union Iron Works,A. H. Irving,A. H. Irving,H.C.B.,1909-12,,1/4 inch = 1 foot,blueprints; power plants; power houses; chimneys; elevations;,"Winchester, Idaho","Spokane, Washington",,47.6802164,-117.4035685,Craig Mountain Lumber Company,https://archiveswest.orbiscascade.org/ark:80444/xv96107,"Craig Mountain Lumber Company records, 1909-1956, MG 12, University of Idaho Library Special Collections and Archives",MG12_F01_p001,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,Blueprint,image; stillimage,image/jpeg,eng,image,https://www.lib.uidaho.edu/digital/objects/craigmountain/MG12_F01_p001.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/small/MG12_F01_p001_sm.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/thumbs/MG12_F01_p001_th.jpg
craigmountain002,MG12_F02_p001.jpg,Double diamond edger,"Blueprint of a 54"" big diamond edger manufactured by Diamond Iron Works, Minneapolis, Minnesota. The right side of the document is torn.",Diamond Iron Works,Diamond Iron Works,,,,,,,blueprints; ironworks (factories),,"Minneapolis, Minnesota",,44.95804392,-93.27864632,Craig Mountain Lumber Company,https://archiveswest.orbiscascade.org/ark:80444/xv96107,"Craig Mountain Lumber Company records, 1909-1956, MG 12, University of Idaho Library Special Collections and Archives",MG12_F02_p001,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Blueprint,image; stillimage,image/jpeg,eng,image,https://www.lib.uidaho.edu/digital/objects/craigmountain/MG12_F02_p001.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/small/MG12_F02_p001_sm.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/thumbs/MG12_F02_p001_th.jpg
craigmountain003,MG12_F03_p001.jpg,Front elevation of sawmill,Blueprint of front elevation of sawmill.,Craig Mountain Lumber Company,,,"[illegible, shorthand]","[illegible, shorthand]",1910-07-25,,1/4 inch = 1 foot,blueprints; sawmills (factories),"Winchester, Idaho","Spokane, Washington",,47.6802164,-117.4035685,Craig Mountain Lumber Company,https://archiveswest.orbiscascade.org/ark:80444/xv96107,"Craig Mountain Lumber Company records, 1909-1956, MG 12, University of Idaho Library Special Collections and Archives",MG12_F03_p001,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,Blueprint,image; stillimage,image/jpeg,eng,image,https://www.lib.uidaho.edu/digital/objects/craigmountain/MG12_F03_p001.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/small/MG12_F03_p001_sm.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/thumbs/MG12_F03_p001_th.jpg
craigmountain004,MG12_F04_p01.jpg,Log slip,Blueprint of a log slip for the Craig Mountain Lumber Company by Wash. Huffman.,Craig Mountain Lumber Company,,Wash. Huffman,Wash. Huffman,,1909-12-21,,1/8 inch & 1/4 inch = 1 foot,blueprints; conveyor belts; flumes; log slips;,"Winchester, Idaho","Spokane, Washington",,47.6802164,-117.4035685,Craig Mountain Lumber Company,https://archiveswest.orbiscascade.org/ark:80444/xv96107,"Craig Mountain Lumber Company records, 1909-1956, MG 12, University of Idaho Library Special Collections and Archives",MG12_F04_p01,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,Blueprint,image; stillimage,image/jpeg,eng,image,https://www.lib.uidaho.edu/digital/objects/craigmountain/MG12_F04_p01.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/small/MG12_F04_p01_sm.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/thumbs/MG12_F04_p01_th.jpg
craigmountain005,MG12_F04_p02.jpg,Detail sketch of cast sections for log haul-up channel,"Detail sketch of cast sections for log haul-up channel for the Craig Mountain Lumber Company, designed by A.P. Evans.",Craig Mountain Lumber Company,,A.P. Evans,A.P. Evans,,,,,blueprints; cast steel; flumes;,"Winchester, Idaho",,,,,Craig Mountain Lumber Company,https://archiveswest.orbiscascade.org/ark:80444/xv96107,"Craig Mountain Lumber Company records, 1909-1956, MG 12, University of Idaho Library Special Collections and Archives",MG12_F04_p02,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Blueprint,image; stillimage,image/jpeg,eng,image,https://www.lib.uidaho.edu/digital/objects/craigmountain/MG12_F04_p02.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/small/MG12_F04_p02_sm.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/thumbs/MG12_F04_p02_th.jpg
craigmountain006,MG12_F05_p001.jpg,Rear sectional elevation,"Blueprint for rear sectional elevation. Created for the Saw Mill for Craig Mountain Lumber Company, Winchester, Idaho. ",Craig Mountain Lumber Company,,Wash. Huffman,"[illegible, shorthand]","[illegible, shorthand]",1910-07-26,,1/4 inch = 1 foot,blueprints; elevations; sawmills;,"Winchester, Idaho","Spokane, Washington",,47.6802164,-117.4035685,Craig Mountain Lumber Company,https://archiveswest.orbiscascade.org/ark:80444/xv96107,"Craig Mountain Lumber Company records, 1909-1956, MG 12, University of Idaho Library Special Collections and Archives",MG12_F05_p001,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,Blueprint,image; stillimage,image/jpeg,eng,image,https://www.lib.uidaho.edu/digital/objects/craigmountain/MG12_F05_p001.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/small/MG12_F05_p001_sm.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/thumbs/MG12_F05_p001_th.jpg
craigmountain007,MG12_F06_p001.jpg,1-No. 37-BROS Open feedwater heater,"Blueprint for 1-No. 37-BROS open feedwater heater for Southern Lumber Company, Boise, Idaho. Built by Wm Bros. Boiler and Mfg Co. [manufacturing company] Minneapolis, Minn.",William Bros Boiler and Manufacturing Company,William Bros Boiler and Manufacturing Company,,G.E.T.,G.E.T.,1916-09-07,,1 inch = 1 foot,blueprints; water heaters; boilers; steam plants;,"Boise, Idaho","Minneapolis, Minnesota",,44.95804392,-93.27864632,Craig Mountain Lumber Company,https://archiveswest.orbiscascade.org/ark:80444/xv96107,"Craig Mountain Lumber Company records, 1909-1956, MG 12, University of Idaho Library Special Collections and Archives",MG12_F06_p001,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,Blueprint,image; stillimage,image/jpeg,eng,image,https://www.lib.uidaho.edu/digital/objects/craigmountain/MG12_F06_p001.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/small/MG12_F06_p001_sm.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/thumbs/MG12_F06_p001_th.jpg
craigmountain008,MG12_F07_p001.jpg,Shaving vault,"Shaving vault blueprint for the Craig Mountain Lumber Company, Winchester, Idaho by Wash. Huffman.",Craig Mountain Lumber Company,Craig Mountain Lumber Company,Wash. Huffman,Wash. Huffman,,1909-12-08,,1/4 inch = 1 foot,blueprints; storage; vaults; fuel stores; steam plants;,"Winchester, Idaho","Spokane, Washington",,47.6802164,-117.4035685,Craig Mountain Lumber Company,https://archiveswest.orbiscascade.org/ark:80444/xv96107,"Craig Mountain Lumber Company records, 1909-1956, MG 12, University of Idaho Library Special Collections and Archives",MG12_F07_p001,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,Blueprint,image; stillimage,image/jpeg,eng,image,https://www.lib.uidaho.edu/digital/objects/craigmountain/MG12_F07_p001.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/small/MG12_F07_p001_sm.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/thumbs/MG12_F07_p001_th.jpg
craigmountain009,MG12_F08_p001.jpg,Grate Bar,Grate bar blueprint. Size 54 inches long and 6 inches wide.,,Wash Huffman,Wash. Huffman,,,1910-01-28,,,blueprints; grates,,"Spokane, Washington",,47.6802164,-117.4035685,Craig Mountain Lumber Company,https://archiveswest.orbiscascade.org/ark:80444/xv96107,"Craig Mountain Lumber Company records, 1909-1956, MG 12, University of Idaho Library Special Collections and Archives",MG12_F08_p001,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,Blueprint,image; stillimage,image/jpeg,eng,image,https://www.lib.uidaho.edu/digital/objects/craigmountain/MG12_F08_p001.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/small/MG12_F08_p001_sm.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/thumbs/MG12_F08_p001_th.jpg
craigmountain010,MG12_F08_p002.jpg,Cross Section and Longitudinal Section,"Diagram of the cross and longitudinal sections for the feed hole tile, Craig Mountain Lumber Company.",Craig Mountain Lumber Company,Craig Mountain Lumber Company,,,,,,,"preliminary drawings; cross sections (general, parts)",,,,,,Craig Mountain Lumber Company,https://archiveswest.orbiscascade.org/ark:80444/xv96107,"Craig Mountain Lumber Company records, 1909-1956, MG 12, University of Idaho Library Special Collections and Archives",MG12_F08_p002,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Blueprint,image; stillimage,image/jpeg,eng,image,https://www.lib.uidaho.edu/digital/objects/craigmountain/MG12_F08_p002.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/small/MG12_F08_p002_sm.jpg,https://www.lib.uidaho.edu/digital/objects/craigmountain/thumbs/MG12_F08_p002_th.jpg
