objectid,filename,title,creator,donor,date,archival date,description,subject,location,latitude,longitude,source,identifier,type,format original,format,finding aid,digital collection,contributing institution,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb
stockcerts0001,1-002.jpg,"Nonpareil Copper Mining Company, Ltd",,"Bennet, Earl H.",1906-12-16,1906-12-16,This certificates certified that T. B. Cosgrove is the owner ten thousand shares.,mining; stock certificates; shares,"Wallace, Idaho",,,"Earl Bennett Stock Certificates collection, MG 572, University of Idaho Library Special Collections and Archives",1-002,Text,document,image/jpg,https://archiveswest.orbiscascade.org/ark:80444/xv839959,Stock Certificates Collection,,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,image,https://www.lib.uidaho.edu/digital/objects/stockcerts/1-002.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/small/1-002_sm.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/thumbs/1-002_th.jpg
stockcerts0002,1-003.jpg,The Canyon Coal Mining Co.,,"Bennet, Earl H.",,,Blank shares certificate.,mining; stock certificates; shares,"Idaho Falls, Idaho",,,"Earl Bennett Stock Certificates collection, MG 572, University of Idaho Library Special Collections and Archives",1-003,Text,document,image/jpg,https://archiveswest.orbiscascade.org/ark:80444/xv839959,Stock Certificates Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/stockcerts/1-003.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/small/1-003_sm.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/thumbs/1-003_th.jpg
stockcerts0003,1-004.jpg,Blue Star Mining and Milling Co.,,"Bennet, Earl H.",1912-03-02,1912-03-02,Henry C. Rowe was the owner of one hundred shares.,mining; stock certificates; shares; milling (metalworking),"Wallace, Idaho",,,"Earl Bennett Stock Certificates collection, MG 572, University of Idaho Library Special Collections and Archives",1-004,Text,document,image/jpg,https://archiveswest.orbiscascade.org/ark:80444/xv839959,Stock Certificates Collection,,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,image,https://www.lib.uidaho.edu/digital/objects/stockcerts/1-004.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/small/1-004_sm.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/thumbs/1-004_th.jpg
stockcerts0004,1-005.jpg,Bitter Root Mountain Mining Co.,,"Bennet, Earl H.",1901-08-22,1901-08-22,E. Gridley was the owner of ten thousand shares.,mining; stock certificates; shares,"Spokane, Washington",,,"Earl Bennett Stock Certificates collection, MG 572, University of Idaho Library Special Collections and Archives",1-005,Text,document,image/jpg,https://archiveswest.orbiscascade.org/ark:80444/xv839959,Stock Certificates Collection,,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,image,https://www.lib.uidaho.edu/digital/objects/stockcerts/1-005.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/small/1-005_sm.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/thumbs/1-005_th.jpg
stockcerts0005,1-006.jpg,Fern Mining Co.,,"Bennet, Earl H.",1946-04-18,1946-04-18,Henry Buhrmester was the owner of five hundred shares.,mining; stock certificates; shares,"Wallace, Idaho",,,"Earl Bennett Stock Certificates collection, MG 572, University of Idaho Library Special Collections and Archives",1-006,Text,document,image/jpg,https://archiveswest.orbiscascade.org/ark:80444/xv839959,Stock Certificates Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/stockcerts/1-006.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/small/1-006_sm.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/thumbs/1-006_th.jpg
stockcerts0006,1-007.jpg,Gertie Mining Company [2],,"Bennet, Earl H.",1916-08-15,1916-08-15,Mrs. Thomas Blatchford(?) was the owner of one thousand shares.,mining; stock certificates; shares,"Spokane, Washington",,,"Earl Bennett Stock Certificates collection, MG 572, University of Idaho Library Special Collections and Archives",1-007,Text,document,image/jpg,https://archiveswest.orbiscascade.org/ark:80444/xv839959,Stock Certificates Collection,,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,image,https://www.lib.uidaho.edu/digital/objects/stockcerts/1-007.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/small/1-007_sm.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/thumbs/1-007_th.jpg
stockcerts0007,1-008.jpg,Silver Cliff Gold and Copper Mining Co. Ltd.,,"Bennet, Earl H.",1915-04-29,1915-04-29,F. L. Redmond was the owner of one thousand shares.,mining; stock certificates; shares; gold (metal); copper (metal),"Wallace, Idaho",,,"Earl Bennett Stock Certificates collection, MG 572, University of Idaho Library Special Collections and Archives",1-008,Text,document,image/jpg,https://archiveswest.orbiscascade.org/ark:80444/xv839959,Stock Certificates Collection,,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,image,https://www.lib.uidaho.edu/digital/objects/stockcerts/1-008.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/small/1-008_sm.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/thumbs/1-008_th.jpg
stockcerts0008,1-009.jpg,"Yreka United, Inc. [1]",,"Bennet, Earl H.",1964-08-12,1964-08-12,Gene Hyde was the owner of two thousand nine hundred fifty shares.,mining; stock certificates; shares,"Kellogg, Idaho",,,"Earl Bennett Stock Certificates collection, MG 572, University of Idaho Library Special Collections and Archives",1-009,Text,document,image/jpg,https://archiveswest.orbiscascade.org/ark:80444/xv839959,Stock Certificates Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/stockcerts/1-009.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/small/1-009_sm.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/thumbs/1-009_th.jpg
stockcerts0009,1-010.jpg,Silver Summit Mining Co. [1],,"Bennet, Earl H.",1948-08-06,1948-08-06,Mathilde Schreiber was the owner of one thousand one hundred eighty-five shares. This certificate was marked as This certificate was marked as This was marked as cancelled.,mining; stock certificates; shares,"Wallace, Idaho",,,"Earl Bennett Stock Certificates collection, MG 572, University of Idaho Library Special Collections and Archives",1-010,Text,document,image/jpg,https://archiveswest.orbiscascade.org/ark:80444/xv839959,Stock Certificates Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/stockcerts/1-010.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/small/1-010_sm.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/thumbs/1-010_th.jpg
stockcerts0010,1-011.jpg,Wall Street Mining Co.,,"Bennet, Earl H.",1909-04-06,1909-04-06,"C. A. Pooley(?) was the owner of ten thousand shares. This was This certificate was marked as This was marked as cancelled. on May 16, 1913.",mining; stock certificates; shares,"Wallace, Idaho",,,"Earl Bennett Stock Certificates collection, MG 572, University of Idaho Library Special Collections and Archives",1-011,Text,document,image/jpg,https://archiveswest.orbiscascade.org/ark:80444/xv839959,Stock Certificates Collection,,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,image,https://www.lib.uidaho.edu/digital/objects/stockcerts/1-011.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/small/1-011_sm.jpg,https://www.lib.uidaho.edu/digital/objects/stockcerts/thumbs/1-011_th.jpg
