objectid,filename,title,creator,date,date is approximate?,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb
winr_001,ug83-1-1-vol-1-no-1.pdf,Women in Forestry Journal Vol. 1 No. 1 ,The University of Idaho,1979-12,yes,"First published journal of Women in Natural Resources (originally called Women in Forestry), initiated by Linda Donohue of North Central Forest Experiment Station. ""The intent of the newsletter is to build a communication and support network among career oriented women in Forest Service--not just for professional Foresters, but for all interested women. We hope it succeeds.""",journals (periodicals);forestry;people in agriculture or natural resource occupations;women's studies,"Moscow, Idaho",46.729352,-117.012741,UG 83 Women in Natural Resources collection,ug83-1-1-vol-1-no-1,Image;StillImage,application/pdf,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://www.lib.uidaho.edu/digital/objects/winr/ug83-1-1-vol-1-no-1.pdf,https://www.lib.uidaho.edu/digital/objects/winr/small/ug83-1-1-vol-1-no-1_sm.jpg,https://www.lib.uidaho.edu/digital/objects/winr/thumbs/ug83-1-1-vol-1-no-1_th.jpg
winr_002,ug83-1-2-vol-2-no-1.pdf,Women in Forestry Journal Vol. 2 No. 1,The University of Idaho,1980-04,yes,Journal of Women in Natural Resources (originally called Women in Forestry),journals (periodicals);forestry;people in agriculture or natural resource occupations;women's studies,"Moscow, Idaho",46.729352,-117.012741,UG 83 Women in Natural Resources collection,ug83-1-2-vol-2-no-1,Image;StillImage,application/pdf,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://www.lib.uidaho.edu/digital/objects/winr/ug83-1-2-vol-2-no-1.pdf,https://www.lib.uidaho.edu/digital/objects/winr/small/ug83-1-2-vol-2-no-1_sm.jpg,https://www.lib.uidaho.edu/digital/objects/winr/thumbs/ug83-1-2-vol-2-no-1_th.jpg
winr_003,ug83-1-4-vol-3-no-1.pdf,Women in Forestry Journal Vol. 3 No. 1,The University of Idaho,1981-01,yes,Journal of Women in Natural Resources (originally called Women in Forestry),journals (periodicals);forestry;people in agriculture or natural resource occupations;women's studies,"Moscow, Idaho",46.729352,-117.012741,UG 83 Women in Natural Resources collection,ug83-1-4-vol-3-no-1,Image;StillImage,application/pdf,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://www.lib.uidaho.edu/digital/objects/winr/ug83-1-4-vol-3-no-1.pdf,https://www.lib.uidaho.edu/digital/objects/winr/small/ug83-1-4-vol-3-no-1_sm.jpg,https://www.lib.uidaho.edu/digital/objects/winr/thumbs/ug83-1-4-vol-3-no-1_th.jpg
winr_004,ug83-1-6-vol-3-no-3.pdf,Women in Forestry Journal Vol. 3 No. 3,The University of Idaho,1981-08,yes,Journal of Women in Natural Resources (originally called Women in Forestry),journals (periodicals);forestry;people in agriculture or natural resource occupations;women's studies,"Moscow, Idaho",46.729352,-117.012741,UG 83 Women in Natural Resources collection,ug83-1-6-vol-3-no-3,Image;StillImage,application/pdf,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://www.lib.uidaho.edu/digital/objects/winr/ug83-1-6-vol-3-no-3.pdf,https://www.lib.uidaho.edu/digital/objects/winr/small/ug83-1-6-vol-3-no-3_sm.jpg,https://www.lib.uidaho.edu/digital/objects/winr/thumbs/ug83-1-6-vol-3-no-3_th.jpg
winr_005,ug83-1-7-vol-3-no-4.pdf,Women in Forestry Journal Vol. 3 No. 4,The University of Idaho,1981-11,yes,Journal of Women in Natural Resources (originally called Women in Forestry),journals (periodicals);forestry;people in agriculture or natural resource occupations;women's studies,"Moscow, Idaho",46.729352,-117.012741,UG 83 Women in Natural Resources collection,ug83-1-7-vol-3-no-4,Image;StillImage,application/pdf,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://www.lib.uidaho.edu/digital/objects/winr/ug83-1-7-vol-3-no-4.pdf,https://www.lib.uidaho.edu/digital/objects/winr/small/ug83-1-7-vol-3-no-4_sm.jpg,https://www.lib.uidaho.edu/digital/objects/winr/thumbs/ug83-1-7-vol-3-no-4_th.jpg
winr_006,ug83-1-8-vol-4-no-1.pdf,Women in Forestry Journal Vol. 4 No. 1,The University of Idaho,1982-05,yes,Journal of Women in Natural Resources (originally called Women in Forestry),journals (periodicals);forestry;people in agriculture or natural resource occupations;women's studies,"Moscow, Idaho",46.729352,-117.012741,UG 83 Women in Natural Resources collection,ug83-1-8-vol-4-no-1,Image;StillImage,application/pdf,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://www.lib.uidaho.edu/digital/objects/winr/ug83-1-8-vol-4-no-1.pdf,https://www.lib.uidaho.edu/digital/objects/winr/small/ug83-1-8-vol-4-no-1_sm.jpg,https://www.lib.uidaho.edu/digital/objects/winr/thumbs/ug83-1-8-vol-4-no-1_th.jpg
winr_007,ug83-1-10-vol-5-no-3.pdf,Women in Forestry Journal Vol. 5 No. 3,The University of Idaho,1983-09,yes,Career Advancement in the Forest Service,journals (periodicals);forestry;people in agriculture or natural resource occupations;women's studies,"Moscow, Idaho",46.729352,-117.012741,UG 83 Women in Natural Resources collection,ug83-1-10-vol-5-no-3,Image;StillImage,application/pdf,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://www.lib.uidaho.edu/digital/objects/winr/ug83-1-10-vol-5-no-3.pdf,https://www.lib.uidaho.edu/digital/objects/winr/small/ug83-1-10-vol-5-no-3_sm.jpg,https://www.lib.uidaho.edu/digital/objects/winr/thumbs/ug83-1-10-vol-5-no-3_th.jpg
winr_008,ug83-1-14-vol-7-no-4.pdf,Women in Forestry Journal Vol. 7 No. 4,The University of Idaho,1985,yes,Range Conservationists Tell Their Stories,journals (periodicals);forestry;rangeland;people in agriculture or natural resource occupations;women's studies;interviews,"Moscow, Idaho",46.729352,-117.012741,UG 83 Women in Natural Resources collection,ug83-1-14-vol-7-no-4,Image;StillImage,application/pdf,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://www.lib.uidaho.edu/digital/objects/winr/ug83-1-14-vol-7-no-4.pdf,https://www.lib.uidaho.edu/digital/objects/winr/small/ug83-1-14-vol-7-no-4_sm.jpg,https://www.lib.uidaho.edu/digital/objects/winr/thumbs/ug83-1-14-vol-7-no-4_th.jpg
winr_009,ug83-1-15-vol-8-no-1.pdf,Women in Forestry Journal Vol. 8 No. 1,The University of Idaho,1986-03,yes,Papers from the symposium: Women in Natural Resources,journals (periodicals);forestry;symposia(conferences);people in agriculture or natural resource occupations;women's studies;symposia(conferences),"Moscow, Idaho",46.729352,-117.012741,UG 83 Women in Natural Resources collection,ug83-1-15-vol-8-no-1,Image;StillImage,application/pdf,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://www.lib.uidaho.edu/digital/objects/winr/ug83-1-15-vol-8-no-1.pdf,https://www.lib.uidaho.edu/digital/objects/winr/small/ug83-1-15-vol-8-no-1_sm.jpg,https://www.lib.uidaho.edu/digital/objects/winr/thumbs/ug83-1-15-vol-8-no-1_th.jpg
winr_010,ug83-1-16-vol-8-no-2.pdf,Women in Forestry Journal Vol. 8 No. 2,The University of Idaho,1986-06,yes,Focus on computers,journals (periodicals);forestry;information technology;history of technology;people in agriculture or natural resource occupations;women's studies,"Moscow, Idaho",46.729352,-117.012741,UG 83 Women in Natural Resources collection,ug83-1-16-vol-8-no-2,Image;StillImage,application/pdf,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://www.lib.uidaho.edu/digital/objects/winr/ug83-1-16-vol-8-no-2.pdf,https://www.lib.uidaho.edu/digital/objects/winr/small/ug83-1-16-vol-8-no-2_sm.jpg,https://www.lib.uidaho.edu/digital/objects/winr/thumbs/ug83-1-16-vol-8-no-2_th.jpg
