objectid,filename,title,creator,description,archival_date,date,date is approximate?,subject,location,latitude,longitude,source,finding_aid,file,format original,format,type,rights,rightsstatement,language,digital collection,contributing institution,display_template,object_location,image_small,image_thumb
flora001,pg129-001.jpg,Lupinus leucophyllus,Thomas R. Ashlee,"Common name: Velvet Lupine. The photo's envelope reads: 'Pend d'Oreille & at forest. 6'' - #2. Calochortus Lupinus leucophyllus, (Dougl) Holzinger. A32 T1/2; D52; F.S. 8 AM.""",1934,1934,yes,plants; botany; Idaho; flora; native plants,"Lake Pend d'Oreille, Idaho",48.17639811,-116.4171646,"Thomas R. Ashlee and Geoffrey Coope collection of flora in Idaho and Washington, 1932-1934, PG 129, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv372138,pg129-001,Black and white prints,image/jpeg,Image;StillImage,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,image,https://www.lib.uidaho.edu/digital/objects/flora/pg129-001,https://www.lib.uidaho.edu/digital/objects/flora/small/pg129-001_sm.jpg,https://www.lib.uidaho.edu/digital/objects/flora/thumbs/pg129-001_th.jpg
flora002,pg129-002.jpg,Primula sect. Dodecatheon,Thomas R. Ashlee,"Common name: Shooting Star. The photo's envelope reads: 'Wrinhouse (?). April 8 - 34. Dodecatheon. 8"" #3.'",1934-04-08,1934-04-08,,plants; botany; flora; native plants,,,,"Thomas R. Ashlee and Geoffrey Coope collection of flora in Idaho and Washington, 1932-1934, PG 129, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv372138,pg129-002,Black and white prints,image/jpeg,Image;StillImage,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,image,https://www.lib.uidaho.edu/digital/objects/flora/pg129-002.jpg,https://www.lib.uidaho.edu/digital/objects/flora/small/pg129-002_sm.jpg,https://www.lib.uidaho.edu/digital/objects/flora/thumbs/pg129-002_th.jpg
flora003,pg129-003.jpg,Balsamorhiza sagittata,Thomas R. Ashlee,"Common name: Arrowleaf Balsamroot. The photo's envelope reads: 'Lewiston Hill. March 23. 34. Balsamorhiza sagittata, (Persh) Natt. T1/2, A16, 1:30 PM. F.S. #2, 30"".'",1934-03-23,1934-03-23,,plants; botany; flora; native plants,,,,"Thomas R. Ashlee and Geoffrey Coope collection of flora in Idaho and Washington, 1932-1934, PG 129, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv372138,pg129-003,Black and white prints,image/jpeg,Image;StillImage,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,image,https://www.lib.uidaho.edu/digital/objects/flora/pg129-003.jpg,https://www.lib.uidaho.edu/digital/objects/flora/small/pg129-003_sm.jpg,https://www.lib.uidaho.edu/digital/objects/flora/thumbs/pg129-003_th.jpg
flora004,pg129-004.jpg,Brodiaea douglasii,Thomas R. Ashlee,"Common name: Blue Lily. The back of the photo reads: 'Brodiaea douglasii, Wars. 3 m. N.E. Moscow. April 26, 1934.'",1934-04-26,1934-04-26,,plants; botany; Idaho; flora; native plants,"Moscow, Idaho",46.73218964,-117.0004539,"Thomas R. Ashlee and Geoffrey Coope collection of flora in Idaho and Washington, 1932-1934, PG 129, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv372138,pg129-004,Black and white prints,image/jpeg,Image;StillImage,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,image,https://www.lib.uidaho.edu/digital/objects/flora/pg129-004.jpg,https://www.lib.uidaho.edu/digital/objects/flora/small/pg129-004_sm.jpg,https://www.lib.uidaho.edu/digital/objects/flora/thumbs/pg129-004_th.jpg
flora005,pg129-005.jpg,Erysimum asperum,Thomas R. Ashlee,"Common name: Western Wallflower. The photo's envelope reads: 'Lewiston Hill. March 23 - 34. Erysimum asperum, (Natt) De. T1/2, A16, F.S. Height 7"", Across 3"", Depth 3"". Sulphur yellow. #2, 15"".'",1934-03-23,1934-03-23,,plants; botany; Idaho; flora; native plants,"Lewiston, Idaho",46.40060311,-117.0005267,"Thomas R. Ashlee and Geoffrey Coope collection of flora in Idaho and Washington, 1932-1934, PG 129, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv372138,pg129-005,Black and white prints,image/jpeg,Image;StillImage,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,image,https://www.lib.uidaho.edu/digital/objects/flora/pg129-005.jpg,https://www.lib.uidaho.edu/digital/objects/flora/small/pg129-005_sm.jpg,https://www.lib.uidaho.edu/digital/objects/flora/thumbs/pg129-005_th.jpg
flora006,pg129-006.jpg,Habenaria elyans (?),Thomas R. Ashlee,"Common name: Bog Orchids. The photo's envelope reads: 'July 10/1934. Above Bull Run Creek. Elk R. Habenaria elyans, Lindl. A16, T1/5' 11:45 AM, light wood.'",1934-07-10,1934-07-10,,plants; botany; Idaho; flora; native plants,"Blue Run Creek, Idaho",,,"Thomas R. Ashlee and Geoffrey Coope collection of flora in Idaho and Washington, 1932-1934, PG 129, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv372138,pg129-006,Black and white prints,image/jpeg,Image;StillImage,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,image,https://www.lib.uidaho.edu/digital/objects/flora/pg129-006.jpg,https://www.lib.uidaho.edu/digital/objects/flora/small/pg129-006_sm.jpg,https://www.lib.uidaho.edu/digital/objects/flora/thumbs/pg129-006_th.jpg
flora007,pg129-007.jpg,Viola adunca,Thomas R. Ashlee,"Common name: Dog Violet. The photo's envelope reads: 'Viola adunca. T.1/25', A16, Full Sun 3PM. Foot of Viola grade. May 12-1933. Enl mask # f22 1 1/2 min.'",1933-05-14,1933-05-14,,plants; botany; Idaho; flora; native plants,"Viola, Idaho",46.83902828,-117.0237102,"Thomas R. Ashlee and Geoffrey Coope collection of flora in Idaho and Washington, 1932-1934, PG 129, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv372138,pg129-007,Black and white prints,image/jpeg,Image;StillImage,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,image,https://www.lib.uidaho.edu/digital/objects/flora/pg129-007.jpg,https://www.lib.uidaho.edu/digital/objects/flora/small/pg129-007_sm.jpg,https://www.lib.uidaho.edu/digital/objects/flora/thumbs/pg129-007_th.jpg
flora008,pg129-008.jpg,Unidentified [1],Thomas R. Ashlee,Unidentified plant in grassy area.,1934,1934,yes,plants; botany; flora; native plants,,,,"Thomas R. Ashlee and Geoffrey Coope collection of flora in Idaho and Washington, 1932-1934, PG 129, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv372138,pg129-008,Black and white prints,image/jpeg,Image;StillImage,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,image,https://www.lib.uidaho.edu/digital/objects/flora/pg129-008.jpg,https://www.lib.uidaho.edu/digital/objects/flora/small/pg129-008_sm.jpg,https://www.lib.uidaho.edu/digital/objects/flora/thumbs/pg129-008_th.jpg
flora009,pg129-009.jpg,Unidentified [2],Thomas R. Ashlee,Unidentified potted-plants.,1934,1934,yes,plants; botany; flora; native plants,,,,"Thomas R. Ashlee and Geoffrey Coope collection of flora in Idaho and Washington, 1932-1934, PG 129, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv372138,pg129-009,Black and white prints,image/jpeg,Image;StillImage,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,image,https://www.lib.uidaho.edu/digital/objects/flora/pg129-009.jpg,https://www.lib.uidaho.edu/digital/objects/flora/small/pg129-009_sm.jpg,https://www.lib.uidaho.edu/digital/objects/flora/thumbs/pg129-009_th.jpg
flora010,pg129-010.jpg,Tellima parviflora,Thomas R. Ashlee,"Common name: Prairie Star. The photo's envelope reads: 'April 10 - 34. 3 mi E of Moscow. Tellima parviflora, Hook. 15' #5.'",1934-04-10,1934-04-10,,plants; botany; flora; native plants,,,,"Thomas R. Ashlee and Geoffrey Coope collection of flora in Idaho and Washington, 1932-1934, PG 129, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv372138,pg129-010,Black and white prints,image/jpeg,Image;StillImage,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,image,https://www.lib.uidaho.edu/digital/objects/flora/pg129-010.jpg,https://www.lib.uidaho.edu/digital/objects/flora/small/pg129-010_sm.jpg,https://www.lib.uidaho.edu/digital/objects/flora/thumbs/pg129-010_th.jpg
