objectid,title,creator,date,archival date,description,fiddler_name,championship_dates,subject,location,latitude,longitude,identifier,filename,source,type,format original,format,finding aid,digital collection,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb
fiddlers001,"National Old Time Fiddle Contest 1972 (Tape 1, Left Track, Side #1)",National Oldtime Fiddle Contest and Festival Organization,1972-06,June 1972,"Handwritten performance list on recording case: Walter Clem, James Widner, Clyde Wheat, Allan Rice, Harold Shaffer, Kenneth Shaddock, Jalmer Edwards, Roscoe White, Mike Eialer, Henrey Mitchell, Raymond Dotty, Jame Henderson, Lauer Birgenal, Stan Gurnsey, David Edwards",Clyde Wheat; Allan Rice; Raymond Dotty; James Widner,,instrument; performance; competition; music,"Weiser, Idaho",,,weisercontest1972tape01_side1,weisercontest_1972_tape01_side1.mp3,"Lyle J. Reed collection, MG 573, University of Idaho Library Special Collections and Archives",Sound,reel,audio/mp3,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,audio,https://www.lib.uidaho.edu/digital/objects/fiddlers/weisercontest_1972_tape01_side1.mp3,,
fiddlers002,"National Old Time Fiddle Contest 1972 (Tape 1, Left Track, Side #2)",National Oldtime Fiddle Contest and Festival Organization,1972-06,June 1972,"Handwritten performance list on recording case: Coy Daily, Ray Parks, Mervin Brantz, Bill Wilson, Edna Grief, Staton Howel, Vivian Skeans, Jim Morris, Murial Collins, Junior Daugherty, Leweln Sepsmith, Jarold La Gates, Wilard French, Clarence Fields, Jim Thomas, Earl Jennings, Jean Lowry, Holl Davis, Leo Murphy",Coy Daily; Junior Daugherty; Jim Hoots; Jim Morris,,instrument; performance; competition; music,"Weiser, Idaho",,,weisercontest1972tape01_side2,weisercontest_1972_tape01_side2.mp3,"Lyle J. Reed collection, MG 573, University of Idaho Library Special Collections and Archives",Sound,reel,audio/mp3,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,audio,https://www.lib.uidaho.edu/digital/objects/fiddlers/weisercontest_1972_tape01_side2.mp3,,
fiddlers003,"Weiser Contest, 1974, Jr. Jr. Contest",National Oldtime Fiddle Contest and Festival Organization,1974-06,June 1974,"Handwritten performance list on recording case, numbers in parenthesis are as they appear on case: Ray Johnson, Tammie Daugherty (3), Terry Brock (5), Rex Shupe, Marci Erricant (7), Tammi Carstins, Elizabeth Shupe (10), Doug Thomas (1), John Calvert, Jess Cooper (9), Tigar Bell, Cathy Calvert, Amy Kinney (8), Michelle O'Connor (6), Scott Jess (4), Mark O'Connor (2), Suzanne Bruchette, Jeff Parson, Wayne Wager, Lisa Procnow, Charlotte Happer. ",Amy Kinney; Mark O'Connor,,instrument; performance; competition; music,"Weiser, Idaho",,,weisercontest1974tapeJrJr_side2,weisercontest_1974_tapejrjr_side2.mp3,"Lyle J. Reed collection, MG 573, University of Idaho Library Special Collections and Archives",Sound,reel,audio/mp3,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,audio,https://www.lib.uidaho.edu/digital/objects/fiddlers/weisercontest_1974_tapejrjr_side2.mp3,,
fiddlers004,"Weiser Contest 1975 (Tape 2, Left Track, Side 1)",National Oldtime Fiddle Contest and Festival Organization,1975-06,June 1975,"Performers included: Doug Thomas, Michelle O'Connor, Jess Cooper, Gary Bebee, Caroline Wheeler, Chlores Warlow, Leon Stevenson, Mark O'Connor, Amy Kinney, and more",Doug Thomas; Jess Copper; Mark O'Connor; Amy Kinney,,instrument; performance; competition; music,"Weiser, Idaho",,,weisercontest1975tape02_side1,weisercontest_1975_tape02_side1.mp3,"Lyle J. Reed collection, MG 573, University of Idaho Library Special Collections and Archives",Sound,reel,audio/mp3,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,audio,https://www.lib.uidaho.edu/digital/objects/fiddlers/weisercontest_1975_tape02_side1.mp3,,
fiddlers005,"Weiser Contest 1975 (Tape 2, Left Track, Side 2)",National Oldtime Fiddle Contest and Festival Organization,1975-06,June 1975,"Handwritten performance list in recording case: Mark O'Connor, Joey Hanson, Cathy Cordova, J'ana Jacoby, Ron Walbauer, Barbara Lamb, Jeff Pritchard, Amy Kinney, Ferry Field, Dale Lake, Charlie Burrey, Roberta Whiting, Ken Smith, Donna Johnson, Robert Scoville. ",Mark O'Connor; J'Anna Jacoby; Jay Pitcher; Amy Kinney,,instrument; performance; competition; music,"Weiser, Idaho",,,weisercontest1975tape02_side2,weisercontest_1975_tape02_side2.mp3,"Lyle J. Reed collection, MG 573, University of Idaho Library Special Collections and Archives",Sound,reel,audio/mp3,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,audio,https://www.lib.uidaho.edu/digital/objects/fiddlers/weisercontest_1975_tape02_side2.mp3,,
fiddlers006,"Weiser Contest 1977 (Tape 1, Left Track, Side 1)",National Oldtime Fiddle Contest and Festival Organization,1977-06,June 1977,"Performances by Amy Kinney, Randy Pollard, Randy Sloan and more",Amy Kinney; Randy Pollard; Randy Sloan,,instrument; performance; competition; music,"Weiser, Idaho",,,weisercontest1977tape01_side1,weisercontest_1977_tape01_side1.mp3,"Lyle J. Reed collection, MG 573, University of Idaho Library Special Collections and Archives",Sound,reel,audio/mp3,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,audio,https://www.lib.uidaho.edu/digital/objects/fiddlers/weisercontest_1977_tape01_side1.mp3,,
fiddlers007,"Weiser Contest 1977 (Tape 1, Left Track, Side 2)",National Oldtime Fiddle Contest and Festival Organization,1977-06,June 1977,"Performances by Tony Ludiker, Brendan Wallace, Jess Copper and more",Tony Ludiker; Brendan Wallace; Jess Copper,,instrument; performance; competition; music,"Weiser, Idaho",,,weisercontest1977tape01_side2,weisercontest_1977_tape01_side2.mp3,"Lyle J. Reed collection, MG 573, University of Idaho Library Special Collections and Archives",Sound,reel,audio/mp3,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,audio,https://www.lib.uidaho.edu/digital/objects/fiddlers/weisercontest_1977_tape01_side2.mp3,,
fiddlers008,"Weiser Contest 1978 (Tape 6, Left Track, Side 1)",National Oldtime Fiddle Contest and Festival Organization,1978-06,June 1978,"Performances by Benny Thomason, Marvin Johson and more",Benny Thomasson; Marvin Johson,,instrument; performance; competition; music,"Weiser, Idaho",,,weisercontest1978tape06_side1,weisercontest_1978_tape06_side1.mp3,"Lyle J. Reed collection, MG 573, University of Idaho Library Special Collections and Archives",Sound,reel,audio/mp3,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,audio,https://www.lib.uidaho.edu/digital/objects/fiddlers/weisercontest_1978_tape06_side1.mp3,,
fiddlers009,"Weiser Contest 1978 (Tape 6, Left Track, Side 2)",National Oldtime Fiddle Contest and Festival Organization,1978-06,June 1978,"Performances by Chester Carlston, Rufus Bond, Donald Moss, Holy Davis, Leonard Green and more",Donald Moss; Holy Davis; Leonard Green,,instrument; performance; competition; music,"Weiser, Idaho",,,weisercontest1978tape06_side2,weisercontest_1978_tape06_side2.mp3,"Lyle J. Reed collection, MG 573, University of Idaho Library Special Collections and Archives",Sound,reel,audio/mp3,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,audio,https://www.lib.uidaho.edu/digital/objects/fiddlers/weisercontest_1978_tape06_side2.mp3,,
fiddlers010,"Weiser Contest 1980 (Tape 7, Side 1)",National Oldtime Fiddle Contest and Festival Organization,1980-06,June 1980,"Performances of Mark O'Connor, Terry Field, Dale Lake and more; note that handwritten track notes on recording case do not match with taped recording",Mark O'Connor; Terry Field; Dale Lake,,instrument; performance; competition; music,"Weiser, Idaho",,,weisercontest1980tape07_side1,weisercontest_1980_tape07_side1.mp3,"Lyle J. Reed collection, MG 573, University of Idaho Library Special Collections and Archives",Sound,reel,audio/mp3,https://archiveswest.orbiscascade.org/ark:80444/xv425711,National Oldtime Fiddle Contest and Festival,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,audio,https://www.lib.uidaho.edu/digital/objects/fiddlers/weisercontest_1980_tape07_side1.mp3,,
