objectid,filename,title,creator,date,date is approximate,description,subject,location,latitude,longitude,source,identifier,type,format original,format,digital collection,contributing institution,language,rights,rightsstatement,object_location,image_small,image_thumb,display_template
ames001,ug73_b08_f01-001.jpg,Borah Symposium 1979,"Ames, Leo",1979,,"Poster for the Borah Symposium in 1979 titled, ""Rich Nations, Poor Nations, and the Sources of Economic Conflict."" Illustration includes part of a rainbow, a purse filled with coins, and another purse with a moth flying out of its opening. ",politics; economics; international relations,"Student Union Ballroom, University of Idaho",46.73063194,-117.0080069,"UG 73, Leo Ames Papers",ug73_b08_f01-001,Image;StillImage,poster,image/jpeg,Leo Ames Papers,University of Idaho Library Special Collections and Archives,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,https://www.lib.uidaho.edu/digital/objects/ames/ug73_b08_f01-001.jpg,https://www.lib.uidaho.edu/digital/objects/ames/small/ug73_b08_f01-001_sm.jpg,https://www.lib.uidaho.edu/digital/objects/ames/thumbs/ug73_b08_f01-001_th.jpg,image
ames002,ug73_b08_f01-002.jpg,Graduate programs in chemistry at Idaho,"Ames, Leo",1975,y,Poster advertising the University of Idaho's graduate chemistry programs. A color photograph of Lake Coeur d'Alene is next to text describing the program and a list of the research faculty.,chemistry,,,,"UG 73, Leo Ames Papers",ug73_b08_f01-002,Image;StillImage,poster,image/jpeg,Leo Ames Papers,University of Idaho Library Special Collections and Archives,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,https://www.lib.uidaho.edu/digital/objects/ames/ug73_b08_f01-002.jpg,https://www.lib.uidaho.edu/digital/objects/ames/small/ug73_b08_f01-002_sm.jpg,https://www.lib.uidaho.edu/digital/objects/ames/thumbs/ug73_b08_f01-002_th.jpg,image
ames003,ug73_b08_f01-003.jpg,Visit the University of Idaho...you might want to live there,"Ames, Leo",1975,y,Poster advertising the University of Idaho. Text is overlaid over an aerial photograph of the University of Idaho campus.,universities (institutions),,,,"UG 73, Leo Ames Papers",ug73_b08_f01-003,Image;StillImage,poster,image/jpeg,Leo Ames Papers,University of Idaho Library Special Collections and Archives,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,https://www.lib.uidaho.edu/digital/objects/ames/ug73_b08_f01-003.jpg,https://www.lib.uidaho.edu/digital/objects/ames/small/ug73_b08_f01-003_sm.jpg,https://www.lib.uidaho.edu/digital/objects/ames/thumbs/ug73_b08_f01-003_th.jpg,image
ames004,ug73_b08_f01-004.jpg,Visit Idaho and find your wings,"Ames, Leo",1975,y,"Poster advertising the University of Idaho. Yellow text reads, ""Visit Idaho and find your wings"" with fragmented photos of students and the campus. A calendar list of campus events are underneath the text and photos.",universities (institutions); college students,,,,"UG 73, Leo Ames Papers",ug73_b08_f01-004,Image;StillImage,poster,image/jpeg,Leo Ames Papers,University of Idaho Library Special Collections and Archives,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,https://www.lib.uidaho.edu/digital/objects/ames/ug73_b08_f01-004.jpg,https://www.lib.uidaho.edu/digital/objects/ames/small/ug73_b08_f01-004_sm.jpg,https://www.lib.uidaho.edu/digital/objects/ames/thumbs/ug73_b08_f01-004_th.jpg,image
ames005,ug73_b08_f01-005.jpg,"""Mankind does have a strong instinct for survival."" poster","Ames, Leo",1975,y,"Poster with abstract colorful hills and sun with a quote by Ernest W. Hartung, ""Mankind does have a strong instinct for survival."" Bottom text reads, ""...strengthen your instincts with a quality education.""",universities (institutions),,,,"UG 73, Leo Ames Papers",ug73_b08_f01-005,Image;StillImage,poster,image/jpeg,Leo Ames Papers,University of Idaho Library Special Collections and Archives,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,https://www.lib.uidaho.edu/digital/objects/ames/ug73_b08_f01-005.jpg,https://www.lib.uidaho.edu/digital/objects/ames/small/ug73_b08_f01-005_sm.jpg,https://www.lib.uidaho.edu/digital/objects/ames/thumbs/ug73_b08_f01-005_th.jpg,image
ames006,ug73_b08_f02-001.jpg,You're a good man Charlie Brown,"Ames, Leo",1972,y,"Poster advertising a performance of ""You're a good man Charlie Brown"" with brown and orange motifs.",musical performances,"AD Auditorium, University of Idaho",46.72645135,-117.0067156,"UG 73, Leo Ames Papers",ug73_b08_f02-001,Image;StillImage,poster,image/jpeg,Leo Ames Papers,University of Idaho Library Special Collections and Archives,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,https://www.lib.uidaho.edu/digital/objects/ames/ug73_b08_f02-001.jpg,https://www.lib.uidaho.edu/digital/objects/ames/small/ug73_b08_f02-001_sm.jpg,https://www.lib.uidaho.edu/digital/objects/ames/thumbs/ug73_b08_f02-001_th.jpg,image
ames007,ug73_b08_f02-002.jpg,Study tour to Europe August 5 to 27,"Ames, Leo",1975,y,"Blue and yellow poster advertising a study abroad program to Europe. Yellow text includes information about the program, which wraps around an illustration of the Colosseum in Rome. ",universities (institutions),,,,"UG 73, Leo Ames Papers",ug73_b08_f02-002,Image;StillImage,poster,image/jpeg,Leo Ames Papers,University of Idaho Library Special Collections and Archives,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,https://www.lib.uidaho.edu/digital/objects/ames/ug73_b08_f02-002.jpg,https://www.lib.uidaho.edu/digital/objects/ames/small/ug73_b08_f02-002_sm.jpg,https://www.lib.uidaho.edu/digital/objects/ames/thumbs/ug73_b08_f02-002_th.jpg,image
ames008,ug73_b08_f02-003.pdf,Study tour to Europe poster drafts,"Ames, Leo",1975,y,"Three sketches of various stages of a poster for a study abroad program to Europe. First sketch is a graphite drawing of the Colosseum in Rome with a few handwritten mathematical notes. Second sketch is another sketch of the Colosseum building with a markered-in background and more defined graphite shading. Third sketch is the Colosseum illustration with text, margins and notes are written in blue. ",universities (institutions); preliminary sketches (sketches),,,,"UG 73, Leo Ames Papers",ug73_b08_f02-003,Image;StillImage,poster; sketch,application/pdf,Leo Ames Papers,University of Idaho Library Special Collections and Archives,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,https://www.lib.uidaho.edu/digital/objects/ames/ug73_b08_f02-003.pdf,https://www.lib.uidaho.edu/digital/objects/ames/small/ug73_b08_f02-003_sm.jpg,https://www.lib.uidaho.edu/digital/objects/ames/thumbs/ug73_b08_f02-003_th.jpg,pdf
ames009,ug73_b08_f02-004.jpg,Borah Symposium 1971,"Ames, Leo",1971,,"Poster for the Borah Symposium in 1971 titled, ""The Clash of Cultures as a Cause of War."" A black and orange icon is in the center and upper left of the poster with the text surrounding it.",politics; economics; international relations,"Student Union Building, University of Idaho",46.73063194,-117.0080069,"UG 73, Leo Ames Papers",ug73_b08_f02-004,Image;StillImage,poster,image/jpeg,Leo Ames Papers,University of Idaho Library Special Collections and Archives,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,https://www.lib.uidaho.edu/digital/objects/ames/ug73_b08_f02-004.jpg,https://www.lib.uidaho.edu/digital/objects/ames/small/ug73_b08_f02-004_sm.jpg,https://www.lib.uidaho.edu/digital/objects/ames/thumbs/ug73_b08_f02-004_th.jpg,image
ames010,ug73_b08_f02-005.jpg,Fourth AIAW intercollegiate swimming and diving championships,"Ames, Leo",1973,,Blue poster advertising the fourth AIAW intercollegiate swimming and diving championships with information about admission. The text is overlaid on a highly rasterized image of a swimmer.,swimming; sports,,,,"UG 73, Leo Ames Papers",ug73_b08_f02-005,Image;StillImage,poster,image/jpeg,Leo Ames Papers,University of Idaho Library Special Collections and Archives,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,https://www.lib.uidaho.edu/digital/objects/ames/ug73_b08_f02-005.jpg,https://www.lib.uidaho.edu/digital/objects/ames/small/ug73_b08_f02-005_sm.jpg,https://www.lib.uidaho.edu/digital/objects/ames/thumbs/ug73_b08_f02-005_th.jpg,image
