objectid,filename,title,creator,description,date,date_is_approximate,subject,location,digital_collection,source,identifier,digital_source,format_original,format,type,rights,rightsstatement,language,sensitive,display_template,object_location,image_small,image_thumb
hiroshima001,ug31_folder167_001.jpg,Hiroshima or Nagasaki after bombing,,Photograph of the destruction caused by the atomic bomb at either Hiroshima or Nagasaki in Japan.,1945,yes,Atomic bomb; rubble,Japan,,"UG 31, William Edgar Borah Outlawry of War Foundation. Records, 1931-1987, University of Idaho Library Special Collections and Archives",UG31_167_01,,Photograph,image/jpg,image;stillimage,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",https://creativecommons.org/publicdomain/mark/1.0/,eng,,image,https://www.lib.uidaho.edu/digital/objects/hiroshima/ug31_folder167_001.jpg,https://www.lib.uidaho.edu/digital/objects/hiroshima/small/ug31_folder167_001_sm.jpg,https://www.lib.uidaho.edu/digital/objects/hiroshima/thumbs/ug31_folder167_001_th.jpg
hiroshima003,ug31_folder167_003.jpg,Burns showing close copy of dress patterns,,Photograph of a woman with the pattern of her dress burned into her skin.,1945,yes,Atomic bomb victims--Japan--Hiroshima-shi,Japan,,"UG 31, William Edgar Borah Outlawry of War Foundation. Records, 1931-1987, University of Idaho Library Special Collections and Archives",UG31_167_03,,Photograph,image/jpg,image;stillimage,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",https://creativecommons.org/publicdomain/mark/1.0/,eng,yes,image,https://www.lib.uidaho.edu/digital/objects/hiroshima/ug31_folder167_003.jpg,https://www.lib.uidaho.edu/digital/objects/hiroshima/small/ug31_folder167_003_sm.jpg,https://www.lib.uidaho.edu/digital/objects/hiroshima/thumbs/ug31_folder167_003_th.jpg
hiroshima004,ug31_folder167_004.jpg,Victim at the Hijiyama Primary School Shelter,,Photograph of a young child severely burned and injured from the atomic bomb.,1945,yes,Atomic bomb victims--Japan,"Hiroshima, Japan",,"UG 31, William Edgar Borah Outlawry of War Foundation. Records, 1931-1987, University of Idaho Library Special Collections and Archives",UG31_167_04,,Photograph,image/jpg,image;stillimage,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",https://creativecommons.org/publicdomain/mark/1.0/,eng,yes,image,https://www.lib.uidaho.edu/digital/objects/hiroshima/ug31_folder167_004.jpg,https://www.lib.uidaho.edu/digital/objects/hiroshima/small/ug31_folder167_004_sm.jpg,https://www.lib.uidaho.edu/digital/objects/hiroshima/thumbs/ug31_folder167_004_th.jpg
hiroshima006,ug31_folder167_006.jpg,Victim at the Hijiyama Primary School Shelter,,Photograph of a severely injured person possibly being treated by a medical professional.,1945,yes,Atomic bomb victims--Japan--Hiroshima-shi,"Hiroshima, Japan",,"UG 31, William Edgar Borah Outlawry of War Foundation. Records, 1931-1987, University of Idaho Library Special Collections and Archives",UG31_167_06,,Photograph,image/jpg,image;stillimage,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",https://creativecommons.org/publicdomain/mark/1.0/,eng,yes,image,https://www.lib.uidaho.edu/digital/objects/hiroshima/ug31_folder167_006.jpg,https://www.lib.uidaho.edu/digital/objects/hiroshima/small/ug31_folder167_006_sm.jpg,https://www.lib.uidaho.edu/digital/objects/hiroshima/thumbs/ug31_folder167_006_th.jpg
hiroshima007,ug31_folder167_007.jpg,Victim at the Hijiyama Primary School Shelter,,Photograph of a man with severe burns and injuries to his face and shoulder.,1945,yes,Atomic bomb victims--Japan--Hiroshima-shi,"Hiroshima, Japan",,"UG 31, William Edgar Borah Outlawry of War Foundation. Records, 1931-1987, University of Idaho Library Special Collections and Archives",UG31_167_07,,Photograph,image/jpg,image;stillimage,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",https://creativecommons.org/publicdomain/mark/1.0/,eng,yes,image,https://www.lib.uidaho.edu/digital/objects/hiroshima/ug31_folder167_007.jpg,https://www.lib.uidaho.edu/digital/objects/hiroshima/small/ug31_folder167_007_sm.jpg,https://www.lib.uidaho.edu/digital/objects/hiroshima/thumbs/ug31_folder167_007_th.jpg
hiroshima008,ug31_folder167_008.jpg,Victim at the Hijiyama Primary School Shelter,,Photograph of a young child with severe burns and injuries to his face and arm.,1945,yes,Atomic bomb victims--Japan--Hiroshima-shi,"Hiroshima, Japan",,"UG 31, William Edgar Borah Outlawry of War Foundation. Records, 1931-1987, University of Idaho Library Special Collections and Archives",UG31_167_08,,Photograph,image/jpg,image;stillimage,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",https://creativecommons.org/publicdomain/mark/1.0/,eng,yes,image,https://www.lib.uidaho.edu/digital/objects/hiroshima/ug31_folder167_008.jpg,https://www.lib.uidaho.edu/digital/objects/hiroshima/small/ug31_folder167_008_sm.jpg,https://www.lib.uidaho.edu/digital/objects/hiroshima/thumbs/ug31_folder167_008_th.jpg
hiroshima009,ug31_folder167_009.jpg,"Through the rubbles near Yamaguchi-cho, 1200 meters from hypcenter",,Photograph of two people walking along a path through the rubble left by the destruction of the atomic bomb.,1945,yes,Atomic bomb; rubble,,,"UG 31, William Edgar Borah Outlawry of War Foundation. Records, 1931-1987, University of Idaho Library Special Collections and Archives",UG31_167_09,,Photograph,image/jpg,image;stillimage,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",https://creativecommons.org/publicdomain/mark/1.0/,eng,,image,https://www.lib.uidaho.edu/digital/objects/hiroshima/ug31_folder167_009.jpg,https://www.lib.uidaho.edu/digital/objects/hiroshima/small/ug31_folder167_009_sm.jpg,https://www.lib.uidaho.edu/digital/objects/hiroshima/thumbs/ug31_folder167_009_th.jpg
hiroshima010,ug31_folder167_010.jpg,"Red Cross hospital looking northwest, Hiroshima. Standing buildings were erected after the blast.",,Photograph from a height overlooking the destruction of the atomic bomb in Hiroshima.,1945,yes,Atomic bomb; rubble,"Hiroshima, Japan",,"UG 31, William Edgar Borah Outlawry of War Foundation. Records, 1931-1987, University of Idaho Library Special Collections and Archives",UG31_167_10,,Photograph,image/jpg,image;stillimage,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",https://creativecommons.org/publicdomain/mark/1.0/,eng,,image,https://www.lib.uidaho.edu/digital/objects/hiroshima/ug31_folder167_010.jpg,https://www.lib.uidaho.edu/digital/objects/hiroshima/small/ug31_folder167_010_sm.jpg,https://www.lib.uidaho.edu/digital/objects/hiroshima/thumbs/ug31_folder167_010_th.jpg
hiroshima011,ug31_folder167_011.jpg,Destroyed industrial area showing smoke stacks still standing. 0.51 mile from ground zero at Nagasaki.,,Aerial Photograph of the remains of a destroyed industrial area in Nagasaki.,1945,yes,Atomic bomb; rubble,,,"UG 31, William Edgar Borah Outlawry of War Foundation. Records, 1931-1987, University of Idaho Library Special Collections and Archives",UG31_167_11,,Photograph,image/jpg,image;stillimage,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",https://creativecommons.org/publicdomain/mark/1.0/,eng,,image,https://www.lib.uidaho.edu/digital/objects/hiroshima/ug31_folder167_011.jpg,https://www.lib.uidaho.edu/digital/objects/hiroshima/small/ug31_folder167_011_sm.jpg,https://www.lib.uidaho.edu/digital/objects/hiroshima/thumbs/ug31_folder167_011_th.jpg
hiroshima012,ug31_folder167_012.jpg,"Human Shadow imprinted on step stone of the Sumitomo Bank, 450 meters from hypocenter",,Photograph of the shadow remains of a person on the steps in front of the Sumitomo Bank. The only remains left for many victims of the atomic bomb near the hypocenter of bomb were shadows.,1945,yes,Atomic bomb--Blast effect,,,"UG 31, William Edgar Borah Outlawry of War Foundation. Records, 1931-1987, University of Idaho Library Special Collections and Archives",UG31_167_12,,Photograph,image/jpg,image;stillimage,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",https://creativecommons.org/publicdomain/mark/1.0/,eng,,image,https://www.lib.uidaho.edu/digital/objects/hiroshima/ug31_folder167_012.jpg,https://www.lib.uidaho.edu/digital/objects/hiroshima/small/ug31_folder167_012_sm.jpg,https://www.lib.uidaho.edu/digital/objects/hiroshima/thumbs/ug31_folder167_012_th.jpg
